city,region,city_type,metro_area,metro_area_population,city_population,population_2013,population_2018,population_trend,percent_hispanic_or_latino_of_any_race,white_alone_percent,percent_black_or_african_american,percent_american_indian_and_alaska_native_alone,percent_asian_alone,percent_native_hawaiian_and_other_pacific_islander_alone,percent_some_other_race_alone,percent_two_or_more_races,share_below_100_percent_of_the_fpl,share_between_100_percent_and_149_percent_of_the_fpl,percent_at_or_above_150_percent_of_the_fpl,total_unemployment_percent,percent_homeowner,percent_renter,renter_housing_cost_burden_35_percent_or_more,owner_housing_cost_burden_30_34_9_percent,owner_housing_cost_burden_35_percent_or_more,asthma,housing_with_potential_lead_risk,cardiovascular_disease_deaths,physical_inactivity,park_access,walkability_score,uninsured,limited_access_to_healthy_foods,obesity,air_pollution,life_expectancy,opioid_overdose_deaths,low_birthweight,premature_mortality_rate,drinking_water_violations,average_travel_time_to_work_all
"Richmond, VA*",South,Center City,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",6138382,223787,207878,223787,growing,6.68,40.37,47.53,0.12,2.13,0.01,0.24,2.92,24.54,11.12,64.35,7.09,42.2,57.8,46.9,7.1,25.5,10.8,34.5,198.8,28.3,77.2,52.2,13.4,66.8,33.6,8.2,75.3,25.7,11.4,9300.0,23.0,24.1
"Roanoke, VA",South,Center City,"Roanoke, VA Metro Area",313291,99621,97355,99621,plateau,6.13,59.03,28.24,0.17,3.05,0.03,0.28,3.07,20.52,10.91,68.57,6.85,51.8,48.2,42.8,5.9,24.6,10.4,33,209.9,33.3,64.3,42.2,12.5,67.1,36.3,7.5,75,21.5,10.1,10300.0,2.0,NA
"Rockville, MD",South,Suburban City,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",6138382,67062,62130,67062,growing,15.87,47.2,10.96,0.12,20.11,0,1.09,4.64,6.62,4.14,89.24,4.57,56.4,43.6,40.7,9,19.9,NA,12.4,NA,NA,93.3,53.9,7.2,43.5,NA,8.4,83.2,NA,NA,NA,72.0,NA
"Savannah, GA",South,Center City,"Savannah, GA Metro Area",381623,145342,139620,145342,plateau,5.12,35.55,53.86,0.17,2.38,0.11,0.22,2.59,22.93,12.75,64.32,9.27,43.9,56.1,47,8.6,24.9,10,24.2,284.7,34.1,51.5,43.4,17.9,71.7,35.9,8.4,76.2,9.4,11.1,12200.0,11.0,21.3
"Tuscaloosa, AL",South,Center City,"Tuscaloosa, AL Metro Area",241398,98881,92461,98881,growing,3.1,49.27,43.89,0.16,2.41,0.07,0.08,1.02,24.21,10.68,65.11,6.59,47.3,52.7,46.5,6.9,24,11.4,12,227.4,32,33.9,32.7,7.8,78.3,35.9,9.8,75.4,4.3,NA,10100.0,7.0,NA
"Wilmington, DE",South,Center City,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",6069448,70904,71143,70904,losing population,10.23,29.23,57.36,0.18,1.22,0.04,0.24,1.51,25.14,10.98,63.89,8.44,44.8,55.2,45.3,6.5,27.7,12,40.9,296.9,37.8,99.1,74.6,6.5,34.9,39.3,9.2,74.5,40.2,NA,15200.0,11.0,28.9
"Arcata, CA*",West,Small Rural,"Eureka-Arcata-Fortuna, CA Micro Area",135768,18050,17559,18050,plateau,16.49,71.65,2.35,0.98,2.16,0.39,0.5,5.48,37.41,10.49,52.1,9.25,39.8,60.2,68.5,7.5,31.7,NA,NA,NA,NA,NA,NA,7.2,NA,NA,NA,NA,NA,NA,NA,1.0,NA
"Beaverton, OR",West,Suburban City,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2417931,97012,91383,97012,growing,16.61,63.6,2.02,0.3,12.78,0.45,0.23,4.02,12.19,7.1,80.72,5.35,49.1,50.9,38.5,8.7,22.5,9.8,7.3,208.7,20.1,91.7,49.7,8.8,52.9,27.6,7.5,81.6,10.2,NA,7300.0,17.0,25.7
"Diamond Bar, CA*",West,Suburban City,"Los Angeles-Long Beach-Anaheim, CA Metro Area",13262234,56434,55950,56434,plateau,19.28,18.99,3.78,0.3,54.86,0.56,0.09,2.14,6.27,6.34,87.39,5.85,75.8,24.2,48.9,9.2,31,NA,6.6,NA,NA,35,29.3,6.3,67.7,NA,12.7,84.6,NA,NA,NA,NA,NA
"Eugene, OR",West,Center City,"Eugene, OR Metro Area",368882,165997,157318,165997,growing,9.84,78.04,1.47,0.68,4.38,0.2,0.28,5.11,21.47,9.76,68.76,6.41,47.9,52.1,50.9,8.6,25.8,11,15,150.6,19.8,87.7,44.7,7.2,58.8,26.9,6.5,79.7,15.7,6.4,6900.0,10.0,20.3
"Hilo, HI*",West,Small Rural,"Hilo, HI Micro Area",197658,46284,44486,46284,plateau,10.65,16.13,0.56,0.16,32.1,8.99,0.12,31.3,19.02,8.32,72.66,5.58,60.6,39.4,46.2,7.3,22,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,48.0,NA
"Kailua-Kona, HI*",West,Small Rural,"Kailua-Kona, HI (Hawaii County)",734502,15268,13143,15268,growing,14.89,26.66,0.48,0.08,22.37,18.93,0.31,16.28,9.65,7.41,82.95,2.78,51.1,48.9,25.4,6.4,32.2,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kirkland, WA",West,Suburban City,"Seattle-Tacoma-Bellevue, WA Metro Area",3809717,88079,75835,88079,growing,7.57,71.96,1.11,0.16,14.22,0.09,0.11,4.78,6.49,2.9,90.61,3.64,62.9,37.1,33.8,8.3,19.6,NA,9,NA,NA,92.1,47.6,4.1,59.2,NA,6.1,83.4,NA,NA,NA,1.0,NA
"Missoula, MT",West,Center City,"Missoula, MT Metro Area",115983,72125,67710,72125,growing,3.36,88.64,0.55,1.88,1.91,0.14,0.12,3.41,18.27,9.03,72.7,4.23,47.4,52.6,42.2,8.9,22.4,9.4,18.4,199.5,22.8,75.1,46.2,7.4,68.4,22.8,7.9,78.9,NA,NA,7700.0,29.0,NA
"Nampa, ID",West,Small Rural,"Boise City, ID Metro Area",693952,91663,83140,91663,growing,23.75,71.16,0.53,0.78,1.05,0.39,0.04,2.29,17.79,15.43,66.78,6.5,61.5,38.5,38.1,6.8,22,10.2,9.3,254.7,28.5,37.3,29.6,14.4,80.8,35.9,8.4,78.9,NA,NA,6900.0,99.0,21.1
"Ogden, UT*",West,Center City,"Ogden-Clearfield, UT Metro Area",652744,86126,83363,86126,plateau,32.47,61.2,1.55,0.72,1.21,0.23,0.03,2.59,19.58,12.08,68.34,5.83,56.4,43.6,37.7,5.8,18.7,10,27.1,235.4,26.2,79.6,45.6,14.8,64.7,33.8,8.3,77,26.5,NA,10700.0,133.0,21.9
"Oxnard, CA*",West,Suburban City,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",848112,207568,199574,207568,plateau,73.69,14.82,2.29,0.26,7.03,0.27,0.08,1.56,14.28,14.04,71.68,6.88,53.7,46.3,48.3,11.1,32.1,9,12.4,175.7,25.3,83.4,55.4,17.3,49.8,26.1,8.9,80.1,7.9,6.0,5800.0,5.0,25.6
"Santa Cruz, CA",West,Center City,"Santa Cruz-Watsonville, CA Metro Area",273765,64273,61245,64273,plateau,21.13,62.56,1.7,0.13,9.61,0.12,0.32,4.45,23.59,5.9,70.51,6.97,47.1,52.9,0.6,0.1,0.3,NA,25.8,NA,NA,95.5,62.4,5.7,53.9,NA,5.8,81.7,NA,NA,NA,5.0,NA
"Spokane, WA*",West,Center City,"Spokane-Spokane Valley, WA Metro Area",555308,214804,209478,214804,plateau,6.47,81.37,2.08,1.52,2.58,0.79,0.08,5.11,18.31,10.26,71.43,5.91,55.2,44.8,41.6,8.5,21.3,11.2,30.9,202.7,22.1,82.3,48.6,6.2,58.5,29.3,9.7,77.6,13.7,7.9,9700.0,1.0,21.1
"St. George, UT*",West,Small Rural,"St. George, UT Metro Area",160537,82194,74301,82194,growing,13.02,80.39,0.73,1.19,0.89,1.31,0.16,2.32,14.61,10.35,75.04,4.29,65,35,44.4,10.2,22.5,9.2,3.9,140.2,23.5,48.3,29.6,13.4,87.5,25,5.2,81.3,22.1,NA,7100.0,48.0,NA
"Sunnyvale, CA*",West,Suburban City,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",1981616,152323,143315,152323,growing,17.3,31.22,1.62,0.17,45.66,0.22,0.16,3.65,5.76,4.1,90.14,4.51,46.4,53.6,27.2,7.8,20.8,7,15.1,133.4,14.9,57.8,58.7,3.9,33.4,17,7.9,83.2,3.3,7.1,3300.0,5.0,26.3
"Tempe, AZ*",West,Center City,"Phoenix-Mesa-Scottsdale, AZ Metro Area",4673634,183652,164742,183652,growing,22.38,56.77,6.17,2.39,8.78,0.25,0.3,2.97,21.26,8.67,70.08,5.09,40.1,59.9,41.5,8,18.2,10.4,7.2,194.9,21.6,64.1,53.3,10.1,48.9,26.1,8.1,79.4,8.4,8.6,6000.0,301.0,NA
"Tigard, OR",West,Suburban City,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2417931,52368,49024,52368,growing,10.74,75.65,1.21,0.32,7.15,0.76,0.36,3.81,9.08,5.03,85.89,4.97,60.6,39.4,44.4,9.2,18.4,NA,7.4,NA,NA,73.1,41.1,7.9,62.6,NA,7.7,82.3,NA,NA,NA,5.0,NA
"Vancouver, WA",West,Suburban City,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2417931,178413,164111,178413,growing,13.27,72.07,2.02,0.45,5.44,1.36,0.19,5.2,12.55,10.13,77.32,5.99,51.6,48.4,38.7,8.2,21.8,10.4,11.3,191.9,20,70.3,40.2,7.9,65.9,33.9,6.8,78.6,14.6,6.3,8700.0,49.0,25.7
"Yakima, WA",West,Small Rural,"Yakima, WA Metro Area",249325,93416,92082,93416,plateau,46.4,47.89,1.07,1.33,1.16,0.02,0.06,2.08,19.88,15.31,64.81,6.86,55.1,44.9,38.4,8.8,22.4,11.3,24.3,189.4,28.5,64.9,49.6,13.5,59,36.8,7.8,78.2,10.7,NA,8900.0,55.0,NA
